"","  Aulu-Gelle ","  Quinte-Curce "," Paul (saint) ","Aelius Spartianus","Alexandre Sévère","Ambroise (saint)","Anastase I","Arcadius","Aristophane","Aristote","Artemidore d'Éphèse","Augustin (saint)","Basile de Césarée (saint)","Caius Velleius Paterculus","Cassiodore","Caton","Catulle","Celse","Cicéron","Clément d'Alexandrie","Clément I","Denis d'Halicarnasse","Denis le Petit","Dioclétien","Diodore de Sicile","Flavius Vopiscus","Gélase Ier","Germain (saint)","Grégoire Ier","Grégoire III","Héliodore de Larisse","Hermogénien","Hérodote","Hippocrate","Homère","Honorius","Horace","Innocent I","Jules César","Julius Firmicus Maternus","Justinien Ier","Labéon","Lampride","Léon Ier","Lucius Neratius Priscus ","Lycurgue","Marcellin Ammien","Marculphe","Martial","Maurus Honoratus Servius","Maximien","none","Papinien","Paulus","Pausanias","Philon d'Alexandrie","Platon","Plaute","Pline le Jeune","Plutarque","Pompée","Quintilien","Quintus Ennius","Salluste","Salvien","Scipion l'Africain","Sénèque","Sextus Pomponius","Siculus Flaccus ","Sidoine Apollinaire","Solon","Suétone","Tacite","Térence","Tertullien","Thucydide","Tiberius Catius Silius Italicus","Tite-Live ","Ulpien","Venance Fortunat","Virgile","Xénophon","Zénon"
"008___'DU BENEFICE D ’ INVENTAIRE.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"009___'CHAPITRE HUITIEME. DE BENEFICE D ’ INVENTAIRE.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"009___'DE BENEFICE D ’ INVENTAIRE'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"009___'DES FIEFS ET DROITS FEODAUX'",0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,1,0,1,2,0,0,0,0,0,2,1,1,0,0,1,1,0,3,0,0
"009___'TITRE HUITIEME. DU BENEFICE D ’ INVENTAIRE.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010___'CHAPITRE DES FIEFS ET DROITS FEODAVX.'",1,0,0,0,2,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"010___'CHAPITRE NEUVIEME. DES FIEFS ET DROITS FEODAUX.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010___'Des curateurs des prodigues et insensez Chap. VI.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010___'DES GARDES.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011___'CHAPITRE DE GARDES.'",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
