,ID,Auteur,Naissance (min),Naissance (max),Mort (min),Mort (max),size
72,scipion,Scipion l'Africain (0235-0183 av. J.-C.),-0235-01-01,-0235-01-01,-0183-01-01,-0183-01-01,4
73,seneca,Sénèque (0004 av. J.-C.-0065),-0004-01-01,-0004-01-01,0065-01-01,0065-01-01,13
74,servius,"Servius, Maurus Honoratus (0363?-03..)",0363-01-01,0363-01-01,0463-01-01,0463-01-01,4
75,severe,Sévère Alexandre (0208-0235),0208-01-01,0208-01-01,0235-01-01,0235-01-01,5
76,siculus,Siculus Flaccus (01..-.... ; agriculteur),0100-01-01,0199-01-01,0100-01-01,0199-01-01,2
77,silius,"Silius Italicus, Tiberius Catius (0025?-0101)",0025-01-01,0025-01-01,0101-01-01,0101-01-01,1
78,solon,Solon (0640?-0561 av. J.-C.),-0640-01-01,-0640-01-01,-0561-01-01,-0561-01-01,17
79,spartian,"Spartianus, Aelius (03..?-03..?)",0300-01-01,0399-01-01,0300-01-01,0399-01-01,1
80,suetone,Suétone (0069?-0126?),0069-01-01,0069-01-01,0126-01-01,0126-01-01,7
81,tacite,Tacite (0055?-0120?),0055-01-01,0055-01-01,0120-01-01,0120-01-01,24
82,terence,Térence (0190?-0159 av. J.-C.),-0190-01-01,-0190-01-01,-0159-01-01,-0159-01-01,7
83,tertullien,Tertullien (0155?-0222?),0155-01-01,0155-01-01,0222-01-01,0222-01-01,10
84,theophile,Théophile Antecessor (05..-05..),0500-01-01,0599-01-01,0500-01-01,0599-01-01,1
85,thucydide,Thucydide (0460?-0395? av. J.-C.),-0460-01-01,-0460-01-01,-0395-01-01,-0395-01-01,1
86,tite-live,Tite-Live (0059? av. J.-C.-0017),-0059-01-01,-0059-01-01,0017-01-01,0017-01-01,4
87,ulpien,Ulpien (0160-0228),0160-01-01,0160-01-01,0225-01-01,0225-01-01,44
88,valentinien,,0419-01-01,0419-01-01,0455-01-01,0455-01-01,1
89,velleius,"Velleius Paterculus, Caius (0019? av. J.-C.-0031?)",-0019-01-01,-0019-01-01,0031-01-01,0031-01-01,1
90,virgile,Virgile (0070-0019 av. J.-C.),-0070-01-01,-0070-01-01,-0019-01-01,-0019-01-01,10
91,vopiscus,"Vopiscus, Flavius (02..-03..)",0200-01-01,0299-01-01,0300-01-01,0399-01-01,1
92,xenophon,"Vossius, Gerardus Joannes (1577-1649)",-0430-01-01,-0430-01-01,-0355-01-01,-0355-01-01,3
93,zenon,Zénon (0430?-0491 ; empereur d'Orient),0430-01-01,0430-01-01,0491-01-01,0491-01-01,1
